"Hampstead",1a,605,647,0,0,0,871,19
"Fulham",1a,171,362,3,1,1,3784,170
"St George Hanover Square",1a,421,479,4,0,0,1174,388
"Chelsea (1841-1981)",1a,363,420,0,0,1,1134,529
"Marylebone (1837-1901)",1a,501,603,2,0,2,1986,664
"Kensington",1a,75,169,0,3,1,1870,756
"Paddington",1a,1,73,0,1,1,1428,954
"Westminster (1870-1913)",1a,481,499,0,0,0,361,1051
"Hackney",1b,405,589,4,0,3,3607,11
"Holborn",1b,629,746,1,1,2,2260,63
"Strand (1837-1913)",1b,619,628,0,0,0,187,318
"St Giles",1b,591,617,1,1,1,513,392
"Islington",1b,171,404,1,2,2,4646,699
"Pancras (1837-1901)",1b,1,169,0,0,3,3297,955
"Shoreditch",1c,13,114,0,0,1,2004,262
"Stepney (to 1921)",1c,371,422,1,0,2,1007,301
"St George in the East",1c,313,369,0,5,0,1133,389
"Mile End Old Town",1c,423,536,0,2,1,2227,685
"London City",1c,1,12,0,1,2,183,740
"Bethnal Green",1c,115,226,1,1,1,2214,866
"Poplar (to 1965)",1c,537,684,1,3,0,2958,984
"Whitechapel",1c,227,312,0,2,0,1733,1069
"St Olave Southwark (1837-1901)",1d,177,286,3,0,1,2168,402
"St Saviour Southwark",1d,1,176,0,2,2,3441,404
"Greenwich",1d,993,1135,2,2,3,2758,431
"Camberwell",1d,811,992,4,0,2,3604,497
"Lambeth",1d,287,525,2,2,3,4691,701
"Lewisham",1d,1137,1224,1,0,3,1709,720
"Wandsworth",1d,527,809,4,0,2,5613,1009
"Woolwich",1d,1225,1320,0,2,1,1852,1096
"Hambledon",2a,151,163,1,0,0,237,17
"Hollingbourne",2a,819,827,0,0,1,142,65
"Hoo",2a,635,638,0,0,0,62,70
"Farnham",2a,111,149,0,2,1,719,153
"Faversham",2a,907,926,1,0,0,381,156
"Tenterden",2a,837,840,0,0,0,83,193
"Thanet",2a,965,1006,0,0,2,771,198
"Tonbridge",2a,745,784,0,0,0,762,210
"Sevenoaks",2a,723,744,0,1,0,395,252
"Sheppey",2a,949,964,1,0,0,286,256
"Strood (1885-1923)",2a,603,633,6,1,0,595,321
"Reigate",2a,177,206,0,1,2,532,350
"Richmond Sry",2a,435,463,1,0,1,547,355
"Romney Marsh",2a,1101,1105,0,0,0,79,365
"Godstone",2a,207,219,0,0,0,259,419
