"Hampstead",1a,427,456,0,0,0,311,19
"Fulham",1a,137,239,2,1,1,1000,170
"St George Hanover Square",1a,287,350,5,1,1,627,388
"Chelsea (1841-1981)",1a,241,285,1,0,0,440,529
"Marylebone (1837-1901)",1a,365,425,1,1,2,570,664
"Kensington",1a,61,136,0,0,1,755,756
"Paddington",1a,1,60,0,0,0,593,954
"Westminster (1870-1913)",1a,351,363,0,1,1,111,1051
"Hackney",1b,261,354,0,3,1,904,11
"Holborn",1b,391,453,0,0,1,586,63
"Strand (1837-1913)",1b,371,390,0,0,1,189,318
"St Giles",1b,355,370,0,0,1,142,392
"Islington",1b,119,259,0,1,1,1386,699
"Pancras (1837-1901)",1b,0,118,0,0,3,1123,955
"Shoreditch",1c,29,98,2,0,3,645,262
"Stepney (to 1921)",1c,247,284,1,0,2,345,301
"St George in the East",1c,223,246,0,2,0,222,389
"Mile End Old Town",1c,285,332,0,1,0,479,685
"London City",1c,1,27,0,0,1,263,740
"Bethnal Green",1c,99,156,0,1,2,552,866
"Poplar (to 1965)",1c,333,422,3,4,0,898,984
"Whitechapel",1c,157,221,1,0,1,637,1069
"St Olave Southwark (1837-1901)",1d,85,163,0,2,0,788,402
"St Saviour Southwark",1d,1,83,0,1,2,783,404
"Greenwich",1d,551,634,2,10,2,792,431
"Camberwell",1d,441,549,7,4,1,1079,497
"Lambeth",1d,165,294,1,1,3,1243,701
"Lewisham",1d,635,682,7,0,2,443,720
"Wandsworth",1d,295,439,2,2,1,1413,1009
"Woolwich",1d,683,739,1,0,0,531,1096
"Hambledon",2a,93,99,0,0,0,65,17
"Hollingbourne",2a,499,505,0,0,0,52,65
"Farnham",2a,69,92,0,0,0,233,153
"Faversham",2a,565,574,0,0,0,89,156
"Tenterden",2a,511,514,0,0,0,32,193
"Thanet",2a,601,627,0,0,2,247,198
"Tonbridge",2a,445,467,0,0,2,209,210
"Sevenoaks",2a,433,443,1,0,1,97,252
"Sheppey",2a,589,599,2,1,1,87,256
"Strood (1885-1923)",2a,363,378,1,0,0,145,321
"Reigate",2a,107,125,0,0,3,143,350
"Richmond Sry",2a,261,279,0,2,0,184,355
"Romney Marsh",2a,689,691,0,0,0,20,365
"Godstone",2a,127,139,0,1,0,122,419
"Gravesend (1837-1941)",2a,351,362,0,0,0,106,426
"Guildford",2a,43,68,0,0,2,220,433
"Canterbury",2a,543,551,0,1,0,86,506
"Chertsey",2a,29,42,0,1,1,126,532
"Cranbrook",2a,507,510,0,0,0,32,572
"Croydon",2a,141,212,2,1,1,709,579
"Dartford",2a,309,350,0,2,1,405,583
"Dorking",2a,101,106,0,0,0,50,601
"Dover",2a,645,666,0,1,0,202,602
"Maidstone",2a,468,497,1,1,2,264,645
"Malling",2a,421,431,0,0,0,103,648
"Medway (1837-1941)",2a,381,419,0,1,0,377,666
"Milton",2a,575,587,0,1,0,121,687
"Kingston",2a,213,260,0,0,3,426,769
"East Ashford",2a,523,529,0,1,0,57,794
"Eastry",2a,629,644,0,0,3,108,808
"Elham",2a,667,688,0,0,1,194,815
"Epsom",2a,1,27,0,0,0,261,822
"Blean",2a,553,564,1,0,1,91,890
"Bridge",2a,531,541,2,0,0,96,920
"Bromley",2a,281,308,2,2,2,253,931
"West Ashford",2a,515,522,0,0,0,78,1037
"Hailsham",2b,61,66,0,0,0,52,12
"Hastings (1837-1977)",2b,7,34,0,0,0,269,30
"Havant",2b,265,268,0,1,0,38,33
"Horsham",2b,199,207,0,0,0,75,72
"Alverstoke",2b,347,361,0,2,0,147,119
"Fareham",2b,363,371,0,0,0,79,150
"Fordingbridge",2b,455,457,1,0,0,26,165
"Thakeham",2b,215,217,0,1,0,23,196
"Ticehurst",2b,67,76,0,0,2,53,206
"Steyning",2b,173,198,0,2,0,247,304
"Ringwood (to 1932)",2b,451,453,0,0,0,30,358
"Rye",2b,1,6,0,0,1,36,381
"New Forest",2b,459,464,1,1,1,38,447
"Chichester",2b,245,252,0,1,0,77,538
"Christchurch (1837-1925)",2b,423,449,0,0,1,252,545
"Cuckfield",2b,99,108,0,0,1,75,580
"Midhurst (to 1935)",2b,253,260,0,0,2,48,682
"Isle of Wight",2b,373,411,4,0,2,360,698
"Lewes",2b,109,125,0,0,2,123,719
"Lymington",2b,413,421,0,0,1,69,751
"Uckfield",2b,77,89,0,1,2,95,781
"Eastbourne",2b,45,60,0,0,2,120,795
"East Grinstead",2b,91,98,0,0,1,54,800
"East Preston",2b,219,236,1,0,1,159,806
"Battle",2b,35,43,0,0,0,76,852
"Brighton",2b,127,172,1,1,0,446,928
"Petworth (to 1935)",2b,209,213,0,0,1,32,967
"Portsea Island (1837-1900)",2b,269,346,0,1,0,762,986
"Westbourne",2b,261,263,0,0,0,24,1039
"Westhampnett",2b,237,243,0,1,0,53,1047
"Hartley Wintney",2c,120,134,0,0,1,122,27
"Hungerford",2c,173,180,0,0,1,52,82
"Abingdon",2c,189,200,0,0,3,68,107
"Alresford",2c,111,114,0,0,0,25,115
"Alton (1837 onw)",2c,115,120,0,0,0,46,117
"Andover",2c,149,157,0,0,2,43,125
"Faringdon",2c,181,188,0,0,2,62,151
"Southampton",2c,1,34,0,0,0,338,280
"South Stoneham",2c,35,64,0,0,0,298,289
"Stockbridge (to 1932)",2c,71,73,4,1,0,20,305
"Reading (1837-1974)",2c,229,254,1,1,1,237,345
"Romsey (1837-1932)",2c,65,70,0,0,1,37,366
"Newbury",2c,163,172,0,0,1,78,442
"Droxford",2c,93,99,0,0,1,53,606
"Maidenhead",2c,265,274,0,1,0,89,644
"Kingsclere (1837-1932)",2c,159,162,0,0,1,17,764
"Easthampstead (1837-1937)",2c,275,282,0,1,1,57,802
"Basingstoke",2c,135,144,1,0,1,76,848
"Bradfield",2c,221,228,0,0,1,59,908
"Petersfield",2c,103,110,0,0,1,58,966
"Wallingford",2c,209,219,0,0,1,87,1005
"Wantage",2c,201,207,0,0,0,58,1011
"Whitchurch H",2c,145,147,0,2,0,19,1066
"Winchester",2c,75,92,0,0,1,141,1081
"Windsor",2c,283,296,0,0,1,127,1082
"Wokingham",2c,255,263,0,0,1,73,1090
"Hatfield",3a,343,346,0,0,0,33,32
"Headington",3a,495,514,2,3,0,183,40
"Hemel Hempstead",3a,385,392,0,1,1,52,43
"Hendon (1837-1947)",3a,99,149,0,0,2,481,45
"Henley",3a,479,488,0,1,1,69,47
