"Hampstead",1a,1349,1431,1,5,6,593,19
"Fulham",1a,407,719,4,0,13,2347,170
"St George Hanover Square",1a,853,1081,7,1,21,1604,388
"Chelsea (1841-1981)",1a,721,851,2,2,4,968,529
"Marylebone (1837-1901)",1a,1143,1347,3,5,12,1491,664
"Kensington",1a,168,406,12,11,18,1752,756
"Paddington",1a,1,163,0,0,8,1178,954
"Westminster (1870-1913)",1a,1083,1141,0,0,3,444,1051
"Hackney",1b,757,1049,3,4,15,2144,11
"Holborn",1b,1155,1354,0,8,16,1411,63
"Strand (1837-1913)",1b,1099,1154,0,3,3,420,318
"St Giles",1b,1051,1097,1,0,0,379,392
"Islington",1b,327,755,1,7,27,3114,699
"Pancras (1837-1901)",1b,1,325,0,5,14,2417,955
"Shoreditch",1c,101,277,0,1,11,1283,262
"Stepney (to 1921)",1c,567,639,1,4,4,523,301
"St George in the East",1c,525,565,0,1,3,299,389
"Mile End Old Town",1c,641,827,2,4,6,1441,685
"London City",1c,1,100,0,1,26,486,740
"Bethnal Green",1c,279,445,1,14,8,1233,866
"Poplar (to 1965)",1c,829,1073,3,5,10,1791,984
"Whitechapel",1c,447,523,0,7,10,501,1069
"St Olave Southwark (1837-1901)",1d,361,546,0,8,11,1398,402
"St Saviour Southwark",1d,1,359,0,15,14,2718,404
"Greenwich",1d,1653,1874,0,2,10,1620,431
"Camberwell",1d,1353,1651,12,10,15,2222,497
"Lambeth",1d,547,903,4,1,19,2595,701
"Lewisham",1d,1875,2019,1,0,14,975,720
"Wandsworth",1d,905,1351,4,11,30,3198,1009
"Woolwich",1d,2021,2189,2,2,12,1202,1096
"Hambledon",2a,275,305,0,2,9,140,17
"Hollingbourne",2a,1571,1600,1,0,12,119,65
"Hoo",2a,1167,1174,0,0,3,27,70
"Farnham",2a,215,273,1,3,12,341,153
"Faversham",2a,1803,1845,2,2,8,231,156
"Tenterden",2a,1625,1643,1,0,8,72,193
"Thanet",2a,1925,2017,2,0,14,559,198
"Tonbridge",2a,1387,1491,1,0,18,622,210
"Sevenoaks",2a,1343,1385,0,4,12,211,252
"Sheppey",2a,1897,1923,0,1,3,176,256
"Strood (1885-1923)",2a,1109,1165,3,1,11,337,321
"Reigate",2a,333,399,1,8,15,339,350
"Richmond Sry",2a,813,860,2,2,5,311,355
"Romney Marsh",2a,2213,2227,2,0,5,52,365
"Godstone",2a,401,435,0,1,10,138,419
"Gravesend (1837-1941)",2a,1077,1108,1,1,3,215,426
"Guildford",2a,121,213,0,1,19,530,433
"Canterbury",2a,1735,1761,0,2,6,152,506
"Chertsey",2a,69,120,0,0,12,284,532
"Cranbrook",2a,1601,1623,1,0,5,127,572
"Croydon",2a,437,658,0,1,19,1550,579
"Dartford",2a,969,1076,0,1,17,706,583
"Dorking",2a,307,331,0,4,8,109,601
"Dover",2a,2069,2146,1,5,15,453,602
"Maidstone",2a,1493,1569,3,4,13,413,645
"Malling",2a,1285,1342,0,6,14,290,648
"Medway (1837-1941)",2a,1175,1283,0,4,9,756,666
"Milton",2a,1847,1895,3,0,13,246,687
"Kingston",2a,657,811,1,4,15,1068,769
"East Ashford",2a,1681,1709,0,0,11,103,794
"Eastry",2a,2019,2068,0,0,12,263,808
"Elham",2a,2147,2212,0,2,14,378,815
