Berkshire,88476
North Riding Yorkshire,Adnil
West Riding Yorkshire,alsibk
Wales,alycymru
Northamptonshire,AMSA
East Lothian,bunothan
Channel Islands,capn-bob
Dorset,capn-bob
Hampshire,capn-bob
Isle of Wight,capn-bob
Sutherland,croftergee
Rest of England,deo123
Buckinghamshire,deobkm
Cumberland,deocul
Worcestershire,deowor
Devon,Devonian
Bute,Dragonfly
Herefordshire,Dragonfly
Somerset,DSR
Cheshire,emmajayne
Yorkshire,EricWilts
Banffshire,Gamrie
Hertfordshire,Glenis
Leicestershire,Grandadron
Rutland,Grandadron
Kent,hawkinssm
Isle of Man,Haworth
Caernarvonshire,hk43
Merionethshire,hk43
Essex,JHarold
Nottinghamshire,JHT
Gloucestershire,jimanderin
Wiltshire,jimpyfrome
Staffordshire,Jonny
Norfolk,JulieHarold
Suffolk,Julie-Harold
London City,Kyran
Middlesex,Kyran
Lancashire,ManCity
Bedfordshire,MaryKay
Cambridgeshire,MaryKay
Huntingdonshire,MaryKay
Lincolnshire,Mick
Ayrshire,Mick1952
Durham,milliemoll
Peebles,nickyy
Berwickshire,OnceAGeordie
Inverness-shire,pth1inv
GENManager,REGManager
Ireland,REGManager
Overseas,REGManager
Oxfordshire,REGManager
Unknown,REGManager
Forfarshire (Angus),REGScotland
Rest of Scotland,REGScotland
Aberdeenshire,RobynPerrim
Caithness-shire,Roseskea
Shropshire,SafeBoy
Argyllshire,seagreen
Warwickshire,SpanishKen
Surrey,steveroland
Sussex,steveroland
Orkney Isles,SueOrkney
Northumberland,susiem
SNDManager,SNDManager
